"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","2603:9000:ad0c:2ea:3a30:a9b4:71e6:94ca","2607:f8b0:4002:c07::5d","TLSv1.2","296","Application Data"
"2","0.000047078","2603:9000:ad0c:2ea:3a30:a9b4:71e6:94ca","2607:f8b0:4002:c07::5d","TLSv1.2","1144","Application Data"
"3","0.000138951","2603:9000:ad0c:2ea:3a30:a9b4:71e6:94ca","2607:f8b0:4002:c07::5d","TCP","1484","52928  >  443 [ACK] Seq=1269 Ack=1 Win=7085 Len=1398 TSval=2536125885 TSecr=217299167 [TCP segment of a reassembled PDU]"
"4","0.000140975","2603:9000:ad0c:2ea:3a30:a9b4:71e6:94ca","2607:f8b0:4002:c07::5d","TCP","1484","52928  >  443 [ACK] Seq=2667 Ack=1 Win=7085 Len=1398 TSval=2536125885 TSecr=217299167 [TCP segment of a reassembled PDU]"
"5","0.000145724","2603:9000:ad0c:2ea:3a30:a9b4:71e6:94ca","2607:f8b0:4002:c07::5d","TCP","1484","52928  >  443 [ACK] Seq=4065 Ack=1 Win=7085 Len=1398 TSval=2536125885 TSecr=217299167 [TCP segment of a reassembled PDU]"
"6","0.000146826","2603:9000:ad0c:2ea:3a30:a9b4:71e6:94ca","2607:f8b0:4002:c07::5d","TCP","1484","52928  >  443 [ACK] Seq=5463 Ack=1 Win=7085 Len=1398 TSval=2536125885 TSecr=217299167 [TCP segment of a reassembled PDU]"
"7","0.000170871","2603:9000:ad0c:2ea:3a30:a9b4:71e6:94ca","2607:f8b0:4002:c07::5d","TCP","1484","52928  >  443 [ACK] Seq=6861 Ack=1 Win=7085 Len=1398 TSval=2536125885 TSecr=217299167 [TCP segment of a reassembled PDU]"
"8","0.000172364","2603:9000:ad0c:2ea:3a30:a9b4:71e6:94ca","2607:f8b0:4002:c07::5d","TCP","1484","52928  >  443 [ACK] Seq=8259 Ack=1 Win=7085 Len=1398 TSval=2536125885 TSecr=217299167 [TCP segment of a reassembled PDU]"
"9","0.000200386","2603:9000:ad0c:2ea:3a30:a9b4:71e6:94ca","2607:f8b0:4002:c07::5d","TCP","1484","52928  >  443 [ACK] Seq=9657 Ack=1 Win=7085 Len=1398 TSval=2536125885 TSecr=217299167 [TCP segment of a reassembled PDU]"
"10","0.000201759","2603:9000:ad0c:2ea:3a30:a9b4:71e6:94ca","2607:f8b0:4002:c07::5d","TCP","1484","52928  >  443 [ACK] Seq=11055 Ack=1 Win=7085 Len=1398 TSval=2536125885 TSecr=217299167 [TCP segment of a reassembled PDU]"
"11","0.041591974","2607:f8b0:4002:c07::5d","2603:9000:ad0c:2ea:3a30:a9b4:71e6:94ca","TCP","86","443  >  52928 [ACK] Seq=1 Ack=211 Win=298 Len=0 TSval=217308677 TSecr=2536125885"
"12","0.041626750","2603:9000:ad0c:2ea:3a30:a9b4:71e6:94ca","2607:f8b0:4002:c07::5d","TCP","1484","52928  >  443 [ACK] Seq=12453 Ack=1 Win=7085 Len=1398 TSval=2536125926 TSecr=217308677 [TCP segment of a reassembled PDU]"
"13","0.041628994","2603:9000:ad0c:2ea:3a30:a9b4:71e6:94ca","2607:f8b0:4002:c07::5d","TCP","1484","52928  >  443 [ACK] Seq=13851 Ack=1 Win=7085 Len=1398 TSval=2536125926 TSecr=217308677 [TCP segment of a reassembled PDU]"
"14","0.046216720","2607:f8b0:4002:c07::5d","2603:9000:ad0c:2ea:3a30:a9b4:71e6:94ca","TCP","86","443  >  52928 [ACK] Seq=1 Ack=1269 Win=309 Len=0 TSval=217308682 TSecr=2536125885"
"15","0.046235495","2603:9000:ad0c:2ea:3a30:a9b4:71e6:94ca","2607:f8b0:4002:c07::5d","TLSv1.2","691","Application Data"
"16","0.046240495","2607:f8b0:4002:c07::5d","2603:9000:ad0c:2ea:3a30:a9b4:71e6:94ca","TCP","86","443  >  52928 [ACK] Seq=1 Ack=2667 Win=320 Len=0 TSval=217308682 TSecr=2536125885"
"17","0.046538134","2607:f8b0:4002:c07::5d","2603:9000:ad0c:2ea:3a30:a9b4:71e6:94ca","TCP","86","443  >  52928 [ACK] Seq=1 Ack=4065 Win=331 Len=0 TSval=217308682 TSecr=2536125885"
"18","0.046625317","2607:f8b0:4002:c07::5d","2603:9000:ad0c:2ea:3a30:a9b4:71e6:94ca","TCP","86","443  >  52928 [ACK] Seq=1 Ack=5463 Win=342 Len=0 TSval=217308683 TSecr=2536125885"
"19","0.046688737","2607:f8b0:4002:c07::5d","2603:9000:ad0c:2ea:3a30:a9b4:71e6:94ca","TCP","86","443  >  52928 [ACK] Seq=1 Ack=6861 Win=353 Len=0 TSval=217308683 TSecr=2536125885"
"20","0.046850140","2607:f8b0:4002:c07::5d","2603:9000:ad0c:2ea:3a30:a9b4:71e6:94ca","TCP","86","443  >  52928 [ACK] Seq=1 Ack=8259 Win=363 Len=0 TSval=217308683 TSecr=2536125885"
"21","0.047003187","2607:f8b0:4002:c07::5d","2603:9000:ad0c:2ea:3a30:a9b4:71e6:94ca","TCP","86","443  >  52928 [ACK] Seq=1 Ack=9657 Win=374 Len=0 TSval=217308683 TSecr=2536125885"
"22","0.047226006","2607:f8b0:4002:c07::5d","2603:9000:ad0c:2ea:3a30:a9b4:71e6:94ca","TCP","86","443  >  52928 [ACK] Seq=1 Ack=11055 Win=385 Len=0 TSval=217308683 TSecr=2536125885"
"23","0.047291048","2607:f8b0:4002:c07::5d","2603:9000:ad0c:2ea:3a30:a9b4:71e6:94ca","TCP","86","443  >  52928 [ACK] Seq=1 Ack=12453 Win=396 Len=0 TSval=217308683 TSecr=2536125885"
"24","0.081942417","2607:f8b0:4002:c07::5d","2603:9000:ad0c:2ea:3a30:a9b4:71e6:94ca","TCP","86","443  >  52928 [ACK] Seq=1 Ack=13851 Win=407 Len=0 TSval=217308718 TSecr=2536125926"
"25","0.082224126","2607:f8b0:4002:c07::5d","2603:9000:ad0c:2ea:3a30:a9b4:71e6:94ca","TCP","86","443  >  52928 [ACK] Seq=1 Ack=15249 Win=418 Len=0 TSval=217308718 TSecr=2536125926"
"26","0.085657654","2607:f8b0:4002:c07::5d","2603:9000:ad0c:2ea:3a30:a9b4:71e6:94ca","TCP","86","443  >  52928 [ACK] Seq=1 Ack=15854 Win=429 Len=0 TSval=217308722 TSecr=2536125931"
"27","0.093033457","2607:f8b0:4002:c07::5d","2603:9000:ad0c:2ea:3a30:a9b4:71e6:94ca","TLSv1.2","191","Application Data"
